Level 2 EV charging site - load at transformer primary

  Panel            208 V, 50 x 40 A breakers
  Pilot current    32.0 A per vehicle (80% continuous derate)
  Per vehicle      6.66 kVA = 6.59 kW + 0.89 kvar + 0.30 kvar distortion
  Transformer      75 kVA

 EVs         kW       kvar   kvar (dis)        kVA       PF   % rated
---------------------------------------------------------------------
   0       0.35       1.50         0.00       1.54    0.227      2.1%
   1       6.95       2.41         0.30       7.37    0.944      9.8%
   2      13.58       3.37         0.60      14.01    0.970     18.7%
   3      20.23       4.38         0.90      20.72    0.976     27.6%
   4      26.91       5.44         1.20      27.48    0.979     36.6%
   5      33.61       6.54         1.50      34.28    0.981     45.7%
   6      40.34       7.69         1.80      41.11    0.981     54.8%
   7      47.09       8.89         2.09      47.97    0.982     64.0%
   8      53.87      10.13         2.39      54.87    0.982     73.2%
   9      60.68      11.42         2.69      61.80    0.982     82.4%
  10      67.50      12.76         2.99      68.77    0.982     91.7%
  11      74.36      14.15         3.29      75.76    0.981    101.0%  <- over nameplate
  12      81.24      15.58         3.59      82.80    0.981    110.4%  <- over nameplate
  13      88.14      17.06         3.89      89.86    0.981    119.8%  <- over nameplate
  14      95.07      18.59         4.19      96.96    0.980    129.3%  <- over nameplate
  15     102.03      20.17         4.49     104.10    0.980    138.8%  <- over nameplate
  16     109.01      21.79         4.79     111.27    0.980    148.4%  <- over nameplate
  17     116.01      23.46         5.09     118.47    0.979    158.0%  <- over nameplate
  18     123.04      25.18         5.39     125.71    0.979    167.6%  <- over nameplate
  19     130.10      26.94         5.69     132.98    0.978    177.3%  <- over nameplate
  20     137.18      28.75         5.98     140.29    0.978    187.1%  <- over nameplate
  21     144.29      30.61         6.28     147.63    0.977    196.8%  <- over nameplate
  22     151.42      32.52         6.58     155.01    0.977    206.7%  <- over nameplate
  23     158.57      34.47         6.88     162.42    0.976    216.6%  <- over nameplate
  24     165.76      36.47         7.18     169.87    0.976    226.5%  <- over nameplate
  25     172.96      38.52         7.48     177.36    0.975    236.5%  <- over nameplate
  26     180.19      40.61         7.78     184.88    0.975    246.5%  <- over nameplate
  27     187.45      42.75         8.08     192.44    0.974    256.6%  <- over nameplate
  28     194.73      44.94         8.38     200.03    0.974    266.7%  <- over nameplate
  29     202.04      47.18         8.68     207.66    0.973    276.9%  <- over nameplate
  30     209.37      49.46         8.98     215.33    0.972    287.1%  <- over nameplate
  31     216.73      51.80         9.28     223.03    0.972    297.4%  <- over nameplate
  32     224.12      54.17         9.57     230.77    0.971    307.7%  <- over nameplate
  33     231.52      56.60         9.87     238.55    0.971    318.1%  <- over nameplate
  34     238.96      59.07        10.17     246.36    0.970    328.5%  <- over nameplate
  35     246.42      61.59        10.47     254.21    0.969    339.0%  <- over nameplate
  36     253.90      64.16        10.77     262.10    0.969    349.5%  <- over nameplate
  37     261.41      66.78        11.07     270.03    0.968    360.0%  <- over nameplate
  38     268.95      69.44        11.37     278.00    0.967    370.7%  <- over nameplate
  39     276.51      72.15        11.67     286.00    0.967    381.3%  <- over nameplate
  40     284.09      74.90        11.97     294.04    0.966    392.1%  <- over nameplate
  41     291.70      77.71        12.27     302.12    0.966    402.8%  <- over nameplate
  42     299.34      80.56        12.57     310.24    0.965    413.7%  <- over nameplate
  43     307.00      83.46        12.87     318.40    0.964    424.5%  <- over nameplate
  44     314.68      86.40        13.17     326.59    0.964    435.5%  <- over nameplate
  45     322.39      89.40        13.46     334.83    0.963    446.4%  <- over nameplate
  46     330.13      92.44        13.76     343.10    0.962    457.5%  <- over nameplate
  47     337.89      95.52        14.06     351.42    0.962    468.6%  <- over nameplate
  48     345.68      98.66        14.36     359.77    0.961    479.7%  <- over nameplate
  49     353.49     101.84        14.66     368.16    0.960    490.9%  <- over nameplate
  50     361.33     105.07        14.96     376.59    0.959    502.1%  <- over nameplate

At full occupancy: 361.33 kW, 376.59 kVA, 502.1% of nameplate.
